Step,Distance,Delta Roll,Delta Pitch,Delta Yaw,Force
0,0.3469499356972029,-5.385949781171462e-05,-0.0008779893697958342,7.8596228386562e-06,0.5
1,0.34699970534050334,-7.842645295434991e-05,-0.0012653637723309798,1.1624763880513122e-05,0.5
2,0.3470514822244965,-9.390327343332672e-05,-0.0016292485983314454,1.3994956665477097e-05,0.5
3,0.34708896609777196,-9.849966698656231e-05,-0.0019721087800644967,1.4602622039748503e-05,0.5
4,0.3471150036071074,-6.643250037292601e-05,-0.001829288511254795,9.728826725414575e-06,0.5
5,0.34713056606515164,-2.1171126648855677e-05,-0.0017318774852065565,2.4363864731728045e-06,0.6094119410268662
6,0.34713570195730425,2.000304095419736e-05,-0.0016287569318676307,-4.3689401909013355e-06,0.7126578489649117
7,0.3471304784808282,4.540461906010763e-05,-0.0015203495073740634,-8.624915365228146e-06,0.7126578489649117
8,0.3471242072619333,5.774652089094446e-05,-0.0014043226871865047,-1.0740707245291735e-05,0.7126578489649117
9,0.3471190505668414,5.703123427247547e-05,-0.001278991480126107,-1.0646126630754557e-05,0.7126578489649117
10,0.34711611989780417,4.321143152097307e-05,-0.001143081847893901,-8.279129704236341e-06,0.7126578489649117
11,0.3471154678333,2.7757795579308465e-05,-0.0010125923462218967,-5.562355932403334e-06,0.7126578489649117
12,0.34711714540166644,5.993804506827516e-05,-0.0009999258075701625,0.00018213074792350491,0.7126578489649117
13,0.34712119160993615,9.267974117053158e-05,-0.0009965613123114724,0.0004255319950086442,0.7126578489649117
14,0.34696315709985,0.00012485063251892471,-0.0010008812777088706,0.000656596756527643,0.7126578489649117
15,0.3467806168220153,0.00015619125076078434,-0.001011656688646867,0.000877790018918366,0.7126578489649117
16,0.3466076846973164,0.00018651951535320066,-0.0010273463710283705,0.0010913030895629405,0.7126578489649117
17,0.3464442380019319,0.0001727048373689755,-0.0009371820866356351,0.0011110032235699043,0.7126578489649117
18,0.346290255270591,0.00015750339841345,-0.0008506176717812009,0.0010660678247034283,0.7126578489649117
19,0.34614556718366335,0.00014232283522259693,-0.0007684567737148485,0.0010238326407138192,0.7126578489649117
20,0.34600995894053105,0.000127774598218533,-0.0006912386659722714,0.0009812559305308775,0.7126578489649117
21,0.34588319094546,0.00011434213073862056,-0.0006201068904348961,0.0009356885326453948,0.7126578489649117
22,0.34576499811235634,0.00010226376273001491,-0.0005557556798593433,0.0008871793262741462,0.7126578489649117
23,0.34565510917635206,9.157500863565816e-05,-0.0004982781698833039,0.0008363281465675221,0.7126578489649117
24,0.3455532681941475,8.217499740990065e-05,-0.0004472699337849606,0.0007836373210870215,0.7126578489649117
25,0.34545924913539217,7.389594800466526e-05,-0.00040203771551815536,0.0007295315648256945,0.7126578489649117
26,0.3453728614070594,6.655692356041244e-05,-0.00036179596579334893,0.0006743608927503988,0.7126578489649117
27,0.3452939480759958,5.999632568514102e-05,-0.0003258029845925658,0.0006184018366930073,0.7126578489649117
28,0.345222380504435,5.4087639873579014e-05,-0.00029344588891509483,0.0005618620541097661,0.7126578489649117
29,0.3451580510983258,4.873882517095752e-05,-0.0002642391764369423,0.000504886299241154,0.7126578489649117
30,0.3451008637910652,4.388400907817669e-05,-0.00023781366334200694,0.00044757194633167146,0.7126578489649117
31,0.3450507338204044,3.9474145981710513e-05,-0.00021387712313107322,0.0003899820297983001,0.7126578489649117
32,0.34500758208639826,3.5467137491540516e-05,-0.0001921781582188087,0.0003321620505553756,0.7126578489649117
33,0.344971333868961,3.1822286412008796e-05,-0.0001725516605101396,0.0002741550808880982,0.7126578489649117
34,0.34494191089951953,2.8517495458402212e-05,-0.000154837869267771,0.00021596224393219054,0.7126578489649117
35,0.34491924760126474,2.550804043242039e-05,-0.00013872434067216388,0.00015771094826815931,0.7126578489649117
36,0.3449032616055725,2.2904224332176427e-05,-0.00012442632842813995,0.00010242308807036603,0.7126578489649117
37,0.3448937355205215,2.0767501435603468e-05,-0.0001121879965029604,5.876761502257854e-05,0.7126578489649117
38,0.3448891300637805,1.8945305246198532e-05,-0.00010161407431125148,2.6819424823040094e-05,0.7126578489649117
39,0.34488471277451205,1.393012992503273e-05,-8.385730293123951e-05,-4.3689988797168676e-06,0.7126578489649117
40,0.34488049122291986,9.277391898088184e-06,-6.492242622992973e-05,-2.1878703051671916e-05,0.7126578489649117
41,0.34495522995428535,5.742645138884229e-06,-4.885202413555945e-05,-5.416627795611362e-05,0.7126578489649117
42,0.34515911799046395,4.3343845472776366e-06,-3.968154327427809e-05,-0.00010299180492979489,0.7126578489649117
43,0.34536601558335867,3.081719572950448e-06,-3.351217662664885e-05,-0.00016408480364202667,0.7126578489649117
44,0.34556067687782754,5.3549928125562475e-06,-3.678574990977901e-05,-0.00022237137028518903,0.7126578489649117
45,0.34574246895489047,6.8938535821239105e-06,-4.160729884140069e-05,-0.0002862955624662624,0.7126578489649117
46,0.34591001354153056,7.144321207519511e-06,-4.2185266210736936e-05,-0.00032632878588471535,0.7126578489649117
47,0.3460613122650727,5.517060474957702e-06,-3.627196554455981e-05,-0.00034581415754093994,0.7126578489649117
48,0.3461960986930855,3.9629031551413625e-06,-2.857112386354666e-05,-0.00034605683051978746,0.7126578489649117
49,0.34631399062527424,2.5713887700895553e-06,-2.1216977167215496e-05,-0.0003290836341610211,0.7126578489649117
50,0.3464144143230884,2.023204063217321e-06,-1.6005687824194316e-05,-0.00029813951953482564,0.7126578489649117
51,0.3464970272400855,1.9398642883139416e-06,-1.4097102764298875e-05,-0.00025654305133110194,0.7126578489649117
52,0.3465617243380587,1.7812809975481514e-06,-1.3129144973939023e-05,-0.0002075541848387555,0.7126578489649117
53,0.34660858412366263,1.67032316227278e-06,-1.2332033775580565e-05,-0.00015427107421071495,0.7126578489649117
54,0.34663783275993465,2.3821710662730314e-06,-1.1800079829615839e-05,-0.00010183502868302032,0.7126578489649117
55,0.34664980854175,2.8971309654401977e-06,-1.2754513938478818e-05,-5.9662976999542634e-05,0.7126578489649117
56,0.3466494019190726,3.288919610078267e-06,-1.4318534599450094e-05,-2.858378140682787e-05,0.7126578489649117
57,0.3466479544698755,3.6091722351194734e-06,-1.568328791994311e-05,-8.886838898678265e-06,0.7126578489649117
58,0.3466465152393944,3.842382324492632e-06,-1.6759775568442327e-05,-4.967610422186575e-07,0.7126578489649117
59,0.3466451631480301,3.2023258563107506e-06,-1.740142818285051e-05,-3.213848044136825e-07,0.7126578489649117
60,0.34664397422213,2.6601471738274543e-06,-1.6328972603935066e-05,-2.470823750877482e-07,0.7126578489649117
61,0.34664295939025996,2.2003981274387743e-06,-1.444254805749168e-05,-1.9820327722200328e-07,0.7126578489649117
62,0.34664214338226873,2.0067895446729268e-06,-1.2092814937075814e-05,-2.2159642455374387e-07,0.7126578489649117
63,0.34664147608988555,1.8909838410685609e-06,-9.81829577602067e-06,-2.50617666828698e-07,0.7126578489649117
64,0.3466412321117353,1.823899232977766e-06,-7.88808281488862e-06,-2.8050759933763436e-07,0.7126578489649117
65,0.34664097540278166,1.8467098950480933e-06,-6.322750049864157e-06,-3.2110878922797515e-07,0.7126578489649117
66,0.34664071990368167,1.8971805639367292e-06,-5.0729951555417155e-06,-3.5453047821376594e-07,0.7126578489649117
67,0.346640462656876,1.7381789100490151e-06,-4.579666562298801e-06,-3.1908456321200203e-07,0.7126578489649117
68,0.3466402036936218,8.730097391662639e-07,-3.6885661715113647e-06,8.678754100848591e-06,0.7126578489649117
69,0.3466399443388125,3.6225074868667676e-07,-3.233949709346984e-06,2.438760104493572e-05,0.7126578489649117
70,0.3466268202852151,1.2203140276056897e-08,-2.830683906146492e-06,3.794366020516797e-05,0.7126578489649117
71,0.3466086133423374,-3.583368678228283e-07,-2.536194640662126e-06,4.1138601226762066e-05,0.7126578489649117
72,0.3465992267904362,-5.444386100172949e-07,-2.4303099685374365e-06,4.1186042488202194e-05,0.7126578489649117
73,0.346597171485557,1.3859834160356857e-07,-2.981608946672765e-06,3.223681445450357e-05,0.7126578489649117
74,0.34659687825257923,4.7541737018264036e-07,-3.107237436933419e-06,1.6572287980837205e-05,0.7126578489649117
75,0.34659657414089673,6.556987227845924e-07,-3.187569913809529e-06,3.0566523131120993e-06,0.7126578489649117
76,0.3465962919925374,8.639930647369454e-07,-3.166045787206251e-06,-1.0153265839821236e-07,0.7126578489649117
77,0.3465960324563933,8.990981901213503e-07,-2.9651801596475293e-06,-1.1574229496907896e-07,0.7126578489649117
78,0.34659579109216443,7.755718996804717e-07,-2.804349861884603e-06,-9.787467937227845e-08,0.7126578489649117
79,0.3465955633664498,6.722437502659773e-07,-2.6593671564545397e-06,-8.234786987720843e-08,0.7126578489649117
80,0.34659534581638957,5.899999370839737e-07,-2.5311580037934435e-06,-6.882076330344544e-08,0.7126578489649117
81,0.34659513614450715,5.235024567618041e-07,-2.417101553658929e-06,-5.699940391172553e-08,0.7126578489649117
82,0.346594932978982,4.6751134936684484e-07,-2.3140163446011556e-06,-4.6599118493431675e-08,0.7126578489649117
83,0.3465947355793221,4.185346185181516e-07,-2.219160492272776e-06,-3.737230954183046e-08,0.7126578489649117
84,0.34659454358792113,3.74579552797627e-07,-2.1305175854136053e-06,-2.9123968480621042e-08,0.7126578489649117
85,0.3465943568517862,3.3457605850273355e-07,-2.046750134715447e-06,-2.1710048660542047e-08,0.7126578489649117
86,0.34659417530866055,2.9794188041165624e-07,-1.9670336084687268e-06,-1.5026748514945788e-08,0.7126578489649117
87,0.3465939989222305,2.6433090916100355e-07,-1.8908812771945007e-06,-8.997921188344527e-09,0.7126578489649117
88,0.3465938276504352,2.3350446758385602e-07,-1.8180045871063478e-06,-3.5645387398697277e-09,0.7126578489649117
89,0.34659366143372816,2.052699478838349e-07,-1.7482181426553555e-06,1.3225801183402999e-09,0.7126578489649117
90,0.3465935001938789,1.7945331265423192e-07,-1.6813827267980752e-06,5.7070773742257115e-09,0.7126578489649117
91,0.3465933438373176,1.5588813182532135e-07,-1.6173753694559422e-06,9.6292387181951e-09,0.7126578489649117
92,0.3465931922596538,1.3441250761303537e-07,-1.5560762776090087e-06,1.3126893915610394e-08,0.7126578489649117
93,0.3465930453497651,1.1486946354111184e-07,-1.4973650103333737e-06,1.6235665368374844e-08,0.7126578489649117
94,0.34659290299290174,9.710847539423639e-08,-1.4411209416254067e-06,1.8988959577664892e-08,0.7126578489649117
95,0.34659276507280024,8.098698884850819e-08,-1.3872251570568039e-06,2.141791026408213e-08,0.7126578489649117
96,0.3465926314730051,-1.6866631025180823e-07,-1.323615106130216e-06,1.1632931960145476e-07,0.7126578489649117
97,0.34659250207764974,-3.757793676228971e-07,-1.2969921422301133e-06,2.0365967362580286e-07,0.7126578489649117
98,0.3465923280856148,-5.725352671070994e-07,-1.2714711668304625e-06,2.8869630007664903e-07,0.7126578489649117
99,0.34659214248819464,-7.640572329492557e-07,-1.2391249800514093e-06,3.72190467811534e-07,0.7126578489649117
100,0.34659195772592677,-9.510927635680844e-07,-1.1982098668927857e-06,4.543906886245869e-07,0.7126578489649117
101,0.34659178321869066,-8.973892176022958e-07,-1.1619547574892585e-06,4.424658780418506e-07,0.7126578489649117
102,0.34659162118887205,-8.776090824724748e-07,-1.0858446521877508e-06,4.363719062157323e-07,0.7126578489649117
103,0.3465914700442694,-8.585750840062191e-07,-1.007845031159027e-06,4.307431662877587e-07,0.7126578489649117
104,0.346591326899082,-8.347731626834333e-07,-9.373862146666579e-07,4.248156510476553e-07,0.7126578489649117
105,0.3465911890104599,-8.055831759889999e-07,-8.770712811356774e-07,4.1838945709880837e-07,0.7126578489649117
106,0.3465910543773664,-7.726879000635735e-07,-8.259638737406761e-07,4.1160800370899916e-07,0.7126578489649117
107,0.346590921821829,-7.382571017622297e-07,-7.817837670565098e-07,4.0471650467367724e-07,0.7126578489649117
108,0.34659079082089184,-7.040774264055471e-07,-7.421978512722749e-07,3.979332488860538e-07,0.7126578489649117
109,0.3465906612692968,-6.712903623196099e-07,-7.054061773315023e-07,3.914038015976479e-07,0.7126578489649117
110,0.3465905332698881,-6.404455360708995e-07,-6.702724491602918e-07,3.852009333484008e-07,0.7126578489649117
111,0.3465904069880933,-6.116737083949886e-07,-6.362198259779461e-07,3.793435734027184e-07,0.7126578489649117
112,0.3465902825708815,-5.848682704368003e-07,-6.030477348484275e-07,3.7381897091369467e-07,0.7126578489649117
113,0.3465901601144974,-5.598253507876904e-07,-5.707584686598376e-07,3.686005818698962e-07,0.7126578489649117
114,0.346590039661964,-5.363309233175073e-07,-5.394307534656307e-07,3.636595531146536e-07,0.7126578489649117
115,0.3465899212145324,-5.142028510540797e-07,-5.091453145755764e-07,3.5897049404862163e-07,0.7126578489649117
116,0.34658980474660417,-4.933024903230888e-07,-4.799518900477917e-07,3.5451327437367735e-07,0.7126578489649117
117,0.3465896902185922,-4.7352985834692166e-07,-4.5186278590514387e-07,3.502726089215508e-07,0.7126578489649117
118,0.3465895775857594,-4.548126497638805e-07,-4.2485979928064136e-07,3.462367612304395e-07,0.7126578489649117
119,0.3465894668031507,-4.3709519967904955e-07,-3.9890535125097776e-07,3.423961757238747e-07,0.7126578489649117
120,0.34658935782762335,-3.676165860220238e-05,9.218739307737534e-05,8.213824810550733e-06,0.7126578489649117
121,0.346589250618136,-0.00012295274276343806,0.0030398049425086897,4.355466497097393e-05,0.7126578489649117
122,0.3466411984394136,-0.0003153655102917874,0.007243138181509368,0.00010556026774463344,0.7126578489649117
123,0.3466055818923452,-0.000704296975196872,0.012050435031963591,0.0001950175445100743,1.016653761354624
124,0.3467009978420709,-0.0013966960962795484,0.017019943782233458,0.00026366661710104867,1.740982020568443
125,0.3470054446163599,-0.002442969224647307,0.022066818887152097,0.0002531851384799173,2.93678289018996
126,0.34741729795354465,-0.003588664899043437,0.025418181655621045,1.649400035997722e-05,4.3347743750160905
127,0.3479172008985385,-0.00478956707298055,0.02787893976137165,-0.00041268240051407296,5.826377619099826
128,0.3483282967601113,-0.006011518956398465,0.03046020595595021,-0.0008642871818330356,7.467148193855284
129,0.34870380376506926,-0.006778786140559579,0.0320241459433214,-0.0013706645444618959,9.277376050982921
130,0.34939001755765464,-0.007387275689135997,0.03238168872692054,-0.0017571796607532067,11.312515627484249
131,0.34980864971036274,-0.007516887006738226,0.03125101869169605,-0.002057341754158498,13.371103541080416
132,0.350175597150604,-0.0073625853906448486,0.027500764738660963,-0.0021673574680632136,15.312981681719041
133,0.3503432446277199,-0.006485195830090884,0.02156538557855811,-0.0023710170817765348,17.032833530049082
134,0.35051459872944524,-0.005067048146280761,0.015777669735552526,-0.002431087323705609,18.390723266710676
135,0.35075362940488436,-0.0033877826392729737,0.009818225243542915,-0.0024901879693189745,19.34423252837576
136,0.3510282876936783,-0.002017461948423449,0.003925008481572659,-0.0024629992524253844,19.855485546357574
137,0.35132484644191414,-0.0007555455307701742,0.0014828077510199602,-0.002504309948223744,20.029109737484394
138,0.3516543236743654,2.888855324183481e-05,-0.0005349780085156409,-0.0024206843630743616,20.1711239151608
139,0.3519596328430577,0.0001335529154115278,-0.0006553024286160449,-0.0024386487700352537,20.3152078181604
140,0.35229283081561225,0.00021869693454616977,0.0005399524560145807,-0.002463337703358732,20.462687523396415
141,0.35260530913589866,0.0002902789860751653,0.0019474029469454535,-0.002412645689600941,20.614311373990642
142,0.35288025836221626,0.0003517525890348594,0.0021022478963876657,-0.00227236998114858,20.76137682113123
143,0.3531149295671933,0.0003866495163757477,0.003233892235528835,-0.002127200435062989,20.965429055308835
144,0.35331137390473666,0.00040894959998487583,0.0031164650692959706,-0.001911590496357749,21.169587626017545
145,0.3534739347603072,0.0004193979875779519,0.002836235966462969,-0.0017062122140454258,21.3571705404282
146,0.3536080669912783,0.00042019249609426273,0.0025564676935776907,-0.0015214195516170738,21.527298679626195
147,0.3537192015501468,0.00041386812970962695,0.0022892015086627363,-0.0013568308017998347,21.680036148260008
148,0.353812047326385,0.00040257360701234646,0.0020437205191609076,-0.001211272907611906,21.8163459282425
149,0.353890342076946,0.00038795085340170843,0.001824690343258828,-0.0010829891225342461,21.937778142887886
